Home_Team,Away_Team,Result,Date,Link,Year,Round,League
Niort,Auxerre,2-2,Fri 27 Sep ,/match/chamois-niortais/auxerre/2020,2020,9,ligue_2
Rodez,Sochaux,0-2,Fri 27 Sep ,/match/rodez/sochaux/2020,2020,9,ligue_2
Troyes,Orléans,1-2,Fri 27 Sep ,/match/troyes/orleans/2020,2020,9,ligue_2
Lens,Paris FC,2-1,Sat 28 Sep ,/match/lens/paris-sg/2020,2020,9,ligue_2
Guingamp,Le Mans,3-0,Mon 30 Sep ,/match/guingamp/mans-uc-72/2020,2020,9,ligue_2
Caen,Chateauroux,1-1,Fri 04 Oct ,/match/caen/berrichonne-chateauroux/2020,2020,10,ligue_2
Guingamp,Rodez,4-1,Fri 04 Oct ,/match/guingamp/rodez/2020,2020,10,ligue_2
Le Mans,Chambly,1-0,Fri 04 Oct ,/match/mans-uc-72/chambly/2020,2020,10,ligue_2
Lorient,Ajaccio,0-0,Fri 04 Oct ,/match/lorient/ajaccio/2020,2020,10,ligue_2
Nancy,Niort,2-1,Fri 04 Oct ,/match/nancy/chamois-niortais/2020,2020,10,ligue_2
Paris FC,Troyes,1-0,Fri 04 Oct ,/match/paris-sg/troyes/2020,2020,10,ligue_2
Sochaux,Clermont,4-0,Fri 04 Oct ,/match/sochaux/clermont-foot/2020,2020,10,ligue_2
Valenciennes,Grenoble,0-2,Fri 04 Oct ,/match/valenciennes-afc/grenoble-foot-38/2020,2020,10,ligue_2
Auxerre,Le Havre,2-0,Sat 05 Oct ,/match/auxerre/havre-ac/2020,2020,10,ligue_2
Orléans,Lens,1-4,Mon 07 Oct ,/match/orleans/lens/2020,2020,10,ligue_2
Ajaccio,Nancy,0-0,Fri 18 Oct ,/match/ajaccio/nancy/2020,2020,11,ligue_2
Caen,Valenciennes,0-0,Fri 18 Oct ,/match/caen/valenciennes-afc/2020,2020,11,ligue_2
Chambly,Sochaux,0-0,Fri 18 Oct ,/match/chambly/sochaux/2020,2020,11,ligue_2
Chateauroux,Paris FC,0-1,Fri 18 Oct ,/match/berrichonne-chateauroux/paris-sg/2020,2020,11,ligue_2
Clermont,Rodez,0-1,Fri 18 Oct ,/match/clermont-foot/rodez/2020,2020,11,ligue_2
Grenoble,Orléans,0-0,Fri 18 Oct ,/match/grenoble-foot-38/orleans/2020,2020,11,ligue_2
Niort,Guingamp,0-0,Fri 18 Oct ,/match/chamois-niortais/guingamp/2020,2020,11,ligue_2
Troyes,Le Mans,2-1,Fri 18 Oct ,/match/troyes/mans-uc-72/2020,2020,11,ligue_2
Le Havre,Lorient,2-2,Sat 19 Oct ,/match/havre-ac/lorient/2020,2020,11,ligue_2
Lens,Auxerre,0-0,Mon 21 Oct ,/match/lens/auxerre/2020,2020,11,ligue_2
Auxerre,Grenoble,0-1,Fri 25 Oct ,/match/auxerre/grenoble-foot-38/2020,2020,12,ligue_2
Guingamp,Clermont,1-2,Fri 25 Oct ,/match/guingamp/clermont-foot/2020,2020,12,ligue_2
Le Mans,Niort,1-0,Fri 25 Oct ,/match/mans-uc-72/chamois-niortais/2020,2020,12,ligue_2
Nancy,Lens,0-0,Fri 25 Oct ,/match/nancy/lens/2020,2020,12,ligue_2
Orléans,Chateauroux,1-1,Fri 25 Oct ,/match/orleans/berrichonne-chateauroux/2020,2020,12,ligue_2
Paris FC,Caen,2-4,Fri 25 Oct ,/match/paris-sg/caen/2020,2020,12,ligue_2
Rodez,Chambly,2-0,Fri 25 Oct ,/match/rodez/chambly/2020,2020,12,ligue_2
Sochaux,Ajaccio,0-2,Fri 25 Oct ,/match/sochaux/ajaccio/2020,2020,12,ligue_2
Lorient,Troyes,0-1,Sat 26 Oct ,/match/lorient/troyes/2020,2020,12,ligue_2
